Direction;StartTime;StartPrice;EndPrice;LineLength;AvgDiff;ImpulseDiff;PrevLineLength;MaxDeviation;Duration;Angle;Session
BUY;20:15:00;1.12589;1.14172;158;0.0776;0.1586;-56.4356;0.365;5070;1.86982;2
SELL;08:45:00;1.14172;1.12103;207;0.0633;0.7713;-31.0127;0.7875;3945;3.14829;0
BUY;14:45:00;1.15745;1.17873;213;0.0569;0.4941;-85.2174;0.5813;10215;1.2511;1
BUY;15:15:00;1.13959;1.15952;199;0.1779;0.6332;-215.873;0.2646;510;23.41176;1
BUY;07:15:00;1.15836;1.17404;157;0.0788;0.2601;-19.8473;0.8435;795;11.84906;0
SELL;07:30:00;1.14806;1.11235;357;0.0504;0.2999;-87.8947;1.229;20340;1.0531;0
BUY;10:30:00;1.11235;1.14806;357;0.0606;0.2991;0;1.4414;10290;2.08163;1
BUY;17:45:00;1.11151;1.12734;158;0.1041;0.2104;34.4398;0.4594;1770;5.35593;2
SELL;21:00:00;1.11318;1.08171;315;0.0929;0.6864;-377.2727;0.7194;6675;2.83146;2
SELL;14:00:00;1.04611;1.00773;384;0.088;0.9683;-336.3636;0.8764;5550;4.15135;1
SELL;17:15:00;1.00427;0.98754;167;0.0996;0.4174;-145.5882;0.7153;5835;1.71722;2
BUY;13:30:00;0.97354;1.00929;358;0.1068;0.3394;-71.2919;0.9433;7590;2.83004;1
SELL;20:00:00;1.00929;0.99416;151;0.0995;0.7799;57.8212;0.8854;2415;3.75155;2
BUY;17:45:00;1.02986;1.05418;243;0.1163;0.2422;-153.125;0.1332;2685;5.43017;2
SELL;15:45:00;1.10008;1.07613;239;0.0505;0.1245;-334.5455;0.6041;12465;1.15042;1
BUY;10:00:00;1.06696;1.09668;297;0.0535;0.2309;-182.8571;1.1326;13260;1.34389;1
BUY;17:45:00;1.07715;1.09448;173;0.0559;0.6508;-188.3333;1.1625;7140;1.45378;2
SELL;16:45:00;1.09448;1.06917;253;0.0525;0.2299;-46.2428;0.2523;11520;1.31771;1
BUY;16:15:00;1.05241;1.07542;230;0.0617;0.2308;-59.7222;0.1934;6885;2.00436;1
BUY;21:30:00;1.06616;1.08908;229;0.0555;0.4904;-269.3548;1.1362;9825;1.39847;2
BUY;21:15:00;1.0892;1.11366;245;0.0498;0.3147;-116.8142;0.8251;18135;0.81059;2
