LineLength;AvgDiff;LastCandlesDiff;PrevLineLength;MaxDeviation;DurationHours;BarsCount
123;0.054;0.0356;3.9063;0.123;81.25;134
106;0.0458;0.0263;13.8211;0.2846;107;429
65;0.0413;0.0586;38.6792;0.3947;119.25;286
86;0.072;0.0897;-32.3077;0.2864;6.25;26
62;0.0414;0.0583;27.907;0.2342;17.75;72
85;0.0622;0.0766;-37.0968;0.5189;32.5;131
113;0.053;0.0713;-32.9412;0.5517;91;173
71;0.0555;0.0569;37.1681;0.2466;29.75;120
57;0.045;0.0521;19.7183;0.1445;13;53
76;0.059;0.0339;-33.3333;0.5113;36;145
72;0.0453;0.0778;5.2632;0.4737;66.5;75
190;0.0489;0.0356;-163.8889;0.2926;87.5;351
179;0.0506;0.0389;5.7895;0.4285;163.5;463
54;0.0482;0.0638;69.8324;0.1795;13.25;54
232;0.0505;0.0658;-329.6296;1.101;162.25;458
206;0.0567;0.0606;11.2069;0.9099;124.5;307
53;0.0459;0.0531;74.2718;0.1837;22;89
205;0.0854;0.0971;-286.7925;0.2006;25;101
96;0.0584;0.1299;53.1707;0.5096;146.25;394
104;0.1803;0.1803;-8.3333;0.1496;2;9
202;0.0804;0.073;-94.2308;0.3847;99;205
106;0.0582;0.0645;47.5248;0.2486;48;193
78;0.0643;0.0393;26.4151;0.1212;100;209
70;0.0476;0.049;10.2564;0.0834;8.75;36
92;0.0683;0.055;-31.4286;0.1104;19.75;80
62;0.0615;0.0631;32.6087;0.2872;30.75;124
241;0.092;0.1211;-288.7097;0.7454;29.25;118
112;0.1085;0.0665;53.527;0.1239;12.5;51
55;0.0946;0.1064;50.8929;0.2118;6.75;28
102;0.1051;0.0728;-85.4545;0.0776;10.25;42
128;0.0958;0.0862;-25.4902;0.3679;54.75;28
97;0.1254;0.158;24.2188;0.3538;12.25;50
177;0.0821;0.1507;-82.4742;0.5379;40.75;164
66;0.1502;0.1195;62.7119;0.4766;10;41
298;0.0878;0.177;-351.5152;0.7995;102.25;218
53;0.1177;0.1078;82.2148;0.1221;5.75;24
70;0.1487;0.15;-32.0755;0.3293;3.25;14
101;0.1883;0.2037;-44.2857;0.2077;4;17
70;0.1525;0.1518;30.6931;0.3365;5.5;23
100;0.12;0.1783;-42.8571;0.5977;22.25;90
55;0.082;0.0432;45;0.0942;5.25;22
202;0.1143;0.1792;-267.2727;0.7357;18.5;75
60;0.0904;0.1789;70.297;0.365;16.75;68
70;0.1581;0.1581;-16.6667;0.56;2.25;10
137;0.1026;0.1246;-95.7143;0.2375;20.75;84
61;0.1684;0.17;55.4745;0.2631;2.5;11
125;0.0931;0.0526;-104.918;0.2667;65.25;70
89;0.0927;0.1017;28.8;0.342;12;49
57;0.0753;0.0663;35.9551;0.0822;6.75;28
81;0.0837;0.1351;-42.1053;0.3543;9;37
85;0.103;0.1135;-4.9383;0.3152;10.25;42
97;0.0772;0.1281;-14.1176;0.3636;20;81
70;0.1712;0.1532;27.8351;0.2843;3.75;16
175;0.0941;0.095;-150;0.5314;23;93
130;0.0648;0.0971;25.7143;0.4398;20.25;82
62;0.1127;0.1116;52.3077;0.1702;3.25;14
103;0.0608;0.0702;-66.129;0.7353;86.5;155
79;0.0739;0.0336;23.301;0.1096;15.25;62
76;0.0658;0.0975;3.7975;0.3366;15.5;63
70;0.0605;0.0474;7.8947;0.3892;38.75;156
90;0.0613;0.034;-28.5714;0.295;73;101
187;0.0916;0.2093;-107.7778;1.1787;32;129
56;0.1118;0.0719;70.0535;0.1024;4.75;20
106;0.0691;0.0542;-89.2857;0.2325;31;125
305;0.0635;0.0494;-187.7358;0.7132;148.75;404
56;0.0894;0.0874;81.6393;0.1468;6.75;28
61;0.0649;0.0884;-8.9286;0.4853;20.5;83
60;0.11;0.108;1.6393;0.1628;4.25;18
94;0.0685;0.0872;-56.6667;0.3967;24;97
95;0.0655;0.0778;-1.0638;0.4938;68.5;83
119;0.064;0.0362;-25.2632;0.4953;38.5;155
104;0.0623;0.053;12.605;0.4542;30.25;122
147;0.1282;0.2522;-41.3462;0.9592;7;29
64;0.1435;0.0675;56.4626;0.1268;5.25;22
69;0.044;0.0649;-7.8125;0.369;103.25;222
161;0.0712;0.1376;-133.3333;0.8239;53.5;215
412;0.0831;0.149;-155.9006;1.2259;151;413
56;0.1012;0.0813;86.4078;0.0458;3.25;14
79;0.0685;0.1202;-41.0714;0.2998;11.5;47
63;0.1756;0.1756;20.2532;0.2431;2.25;10
70;0.1367;0.1285;-11.1111;0.1303;4.25;18
104;0.096;0.1294;-48.5714;0.5402;20.5;83
65;0.1383;0.1414;37.5;0.343;4;17
50;0.1309;0.1012;23.0769;0.2523;5;21
83;0.0827;0.0849;-66;0.6192;72.5;99
77;0.0744;0.1299;7.2289;0.5912;18.75;76
55;0.0672;0.0737;28.5714;0.147;18.5;75
119;0.117;0.0951;-116.3636;0.7167;18;73
145;0.1001;0.1024;-21.8487;0.3961;29.5;119
106;0.1891;0.1987;26.8966;0.2549;8.5;35
89;0.0695;0.0667;16.0377;0.2627;63.5;63
87;0.1235;0.1121;2.2472;0.5591;9.5;39
232;0.0942;0.1591;-166.6667;1.2708;72.5;291
58;0.0682;0.1227;75;0.2795;15;61
58;0.1061;0.1044;0;0.2047;5.5;23
204;0.0795;0.0408;-251.7241;1.0372;106.75;236
101;0.0792;0.0447;50.4902;0.4325;21;85
143;0.0937;0.0938;-41.5842;0.6336;20.75;84
71;0.0783;0.0958;50.3497;0.3961;24.5;99
213;0.0842;0.1417;-200;0.8996;93.75;184
105;0.0683;0.1029;50.7042;0.3317;20.25;82
120;0.0742;0.0674;-14.2857;0.3583;37.5;151
64;0.0696;0.0773;46.6667;0.2772;9;37
88;0.0705;0.0531;-37.5;0.3873;78;121
105;0.0686;0.1549;-19.3182;0.3978;20;81
57;0.1161;0.0707;45.7143;0.0677;5.75;24
110;0.0728;0.1649;-92.9825;0.8444;21;85
135;0.0622;0.0475;-22.7273;0.3107;34.75;133
109;0.0646;0.091;19.2593;0.6326;106.75;236
106;0.0673;0.1807;2.7523;0.6643;47.25;190
360;0.0936;0.0808;-239.6226;0.2918;109.5;247
75;0.096;0.1179;79.1667;0.2392;6.75;28
71;0.112;0.0905;5.3333;0.2433;10.5;43
101;0.0941;0.1977;-42.2535;0.555;13.5;55
130;0.1474;0.1414;-28.7129;0.2706;9.5;39
88;0.1751;0.0609;32.3077;0.1747;6;25
84;0.0916;0.1329;4.5455;0.3894;7.5;31
207;0.1876;0.182;-146.4286;0.8632;10;41
131;0.102;0.1453;36.715;0.4376;21;85
121;0.0733;0.1081;7.6336;0.585;90.25;170
105;0.0773;0.108;13.2231;0.3011;22.25;90
124;0.129;0.1659;-18.0952;0.4425;7.75;32
103;0.0793;0.1712;16.9355;0.7182;18;73
116;0.0852;0.1148;-12.6214;0.4968;102.5;219
223;0.0749;0.1015;-92.2414;0.67;68.75;276
98;0.1464;0.1251;56.0538;0.17;5.25;22
112;0.0823;0.1554;-14.2857;0.7798;21;85
88;0.073;0.0862;21.4286;0.3505;68.75;84
292;0.0856;0.1445;-231.8182;0.9564;49.25;198
50;0.0826;0.0663;82.8767;0.2659;17.5;71
142;0.0974;0.1627;-184;0.8627;25.75;104
109;0.1817;0.2061;23.2394;0.3727;7.5;31
186;0.0873;0.0868;-70.6422;1.0977;90.5;171
69;0.1429;0.1372;62.9032;0.1957;5.75;24
60;0.0811;0.1239;13.0435;0.4142;16;54
58;0.1472;0.1565;3.3333;0.0966;5;21
61;0.5293;0.5293;-5.1724;0;0.25;2
100;0.3849;0.3849;-63.9344;0.6679;2.25;10
154;0.1007;0.1339;-54;0.7173;22.75;92
241;0.101;0.1302;-56.4935;0.8983;97.25;198
71;0.0667;0.0647;70.5394;0.1433;11;45
142;0.1433;0.1936;-100;0.4562;9;37
107;0.1079;0.1229;24.6479;0.7775;31;125
72;0.0582;0.088;32.7103;0.1811;12.25;50
55;0.1524;0.161;23.6111;0.1169;3.5;15
102;0.1762;0.1969;-85.4545;0.7071;3;13
105;0.4213;0.4213;-2.9412;0.5008;1;5
58;0.1079;0.0279;44.7619;0.1774;10;41
91;0.0887;0.1528;-56.8966;0.6591;8.25;34
105;0.1598;0.2022;-15.3846;0.5245;6.25;26
61;0.0876;0.0633;41.9048;0.328;58.75;37
67;0.108;0.1207;-9.8361;0.3953;13;53
140;0.0921;0.1427;-108.9552;0.8063;26.25;106
60;0.0712;0.1016;57.1429;0.2699;19;77
69;0.1325;0.152;-15;0.2579;5.25;22
127;0.1121;0.0958;-84.058;0.1489;14;57
109;0.1541;0.1568;14.1732;0.4257;5.5;23
131;0.0926;0.0991;-20.1835;0.371;18.5;75
95;0.1694;0.1603;27.4809;0.5822;6.75;28
132;0.0901;0.0798;-38.9474;0.4299;83.75;144
136;0.0964;0.0564;-3.0303;0.218;23.75;96
57;0.09;0.1167;58.0882;0.2878;10.75;44
