Direction;StartPrice;EndPrice;LineLength;AvgDiff;ImpulseDiff;PrevLineLength;MaxDeviation;MaxImpulse;Duration;Angle
BUY;1.14563;1.17386;282;0.0717;0.6209;-235.7143;0.61;0.8255;4275;3.95789
BUY;1.16174;1.17873;170;0.0568;0.4941;-254.1667;0.4657;0.619;5055;2.0178
BUY;1.16808;1.18934;213;0.0526;0.6431;-117.3469;0.7844;0.5215;8985;1.42237
SELL;1.17307;1.15635;167;0.0448;0.1685;0;0.8135;0.2077;13650;0.73407
SELL;1.14806;1.13018;179;0.0506;0.1565;5.7895;0.4285;0.5991;9810;1.0948
BUY;1.08919;1.10937;202;0.1143;1.0109;-267.2727;0.7357;0.105;1110;10.91892
SELL;1.059;1.03578;232;0.0942;0.8032;-166.6667;1.2708;0.307;4350;3.2
BUY;0.99534;1.01939;241;0.101;0.8041;-56.4935;0.8983;0.891;5835;2.47815
BUY;0.96469;0.98405;194;0.1456;0.6008;-97.9592;0.4102;0.8596;1470;7.91837
BUY;0.99099;1.00929;183;0.0976;1.0136;-245.283;0.8526;0.5158;2640;4.15909
BUY;0.99416;1.03622;421;0.1525;0.8644;-178.8079;0.3391;1.7525;2010;12.56716
BUY;1.02254;1.04463;221;0.0839;0.4182;-33.9394;0.7826;0.1536;3570;3.71429
SELL;1.10245;1.06705;354;0.0821;0.5021;-60.181;0.4572;1.1225;7845;2.70746
SELL;1.08285;1.06775;151;0.0525;0.4758;-125.3731;0.4406;0.5291;11880;0.76263
SELL;1.07366;1.04924;244;0.0587;0.559;-139.2157;0.715;0.9817;10185;1.43741
BUY;1.07105;1.09443;234;0.0368;0.4579;-260;0.5427;0.8189;21600;0.65
SELL;1.09443;1.07777;167;0.0381;0.485;28.6325;0.5777;0.4271;21585;0.46421
BUY;1.03399;1.05285;189;0.1064;0.645;29.4776;0.6294;0.902;4605;2.46254
SELL;1.05246;1.03635;161;0.064;0.5514;-147.6923;0.5294;0.233;3990;2.42105
SELL;1.09167;1.07348;182;0.0624;0.3525;-250;0.5403;0.8205;9855;1.10807
SELL;1.14236;1.12679;156;0.0827;0.6493;-69.5652;0.5663;0.2624;4035;2.3197
SELL;1.12869;1.10744;212;0.0997;1.4478;-143.6782;1.3443;0.2204;4095;3.10623
BUY;1.12589;1.14172;158;0.0776;0.2692;-56.4356;0.365;0.7297;5070;1.86982
BUY;1.15745;1.17873;213;0.0569;0.4941;-85.2174;0.5813;0.5556;10215;1.2511
BUY;1.13959;1.15952;199;0.1779;0.6957;-215.873;0.2646;1.382;510;23.41176
SELL;1.14806;1.11235;357;0.0504;0.3008;-87.8947;1.229;0.6034;20340;1.0531
BUY;1.11235;1.14806;357;0.0606;0.3839;0;1.4414;0.3453;10290;2.08163
BUY;1.11151;1.12734;158;0.1041;0.3412;34.4398;0.4594;0.7348;1770;5.35593
SELL;1.11318;1.08171;315;0.0929;0.7534;-377.2727;0.7194;1.1322;6675;2.83146
